Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Barbell Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell
Barbell Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Barbell
Barbell Back Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Stiff Legged Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell
Barbell Sumo Back Squat,Novice,Glutes,Gluteus Maximus,Quadriceps Femoris,,Barbell
Bodyweight Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Cable Pull Through,Beginner,Glutes,Gluteus Maximus,,,Cable
Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Deficit Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell
Double Dumbbell Seated Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Dumbbell
Double Dumbbell Suitcase Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Front Rack Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Bodyweight Face the Wall Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Kettlebell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Miniband Thigh Monster Walk,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Bodyweight Quadruped Hip Extension,Beginner,Glutes,Gluteus Maximus,,,Bodyweight
Suspension Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Suspension Skater Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Bodyweight Tuck Jump,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Alternating Single Leg Wall Sit,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Single Leg Romanian Deadlift Jump,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight
Double Dumbbell Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball
Bodyweight Leg Extension,Novice,Quadriceps,Quadriceps Femoris,,,Bodyweight
Bodyweight Alternating Lateral Bench Jump,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Single Arm Dumbbell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Bodyweight Skater Jump,Intermediate,Abductors,Gluteus Medius,Adductor Magnus,,Bodyweight
Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Cable Prone Bench Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable
Bodyweight Bulgarian Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,,,Bodyweight
Cable Standing Single Leg Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable
Bodyweight Nordic Hamstring Curl,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight
Superband Assisted Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband
Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Double Dumbbell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Back Rack Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Bodyweight Box Pistol Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Barbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Landmine Goblet Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Stability Ball Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball
Slider Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders
Bodyweight Hamstring Walkout,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight
Slider Dumbbell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Bodyweight Dragon Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Dumbbell
Stability Ball Single Leg Hamstring Curl,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball
Barbell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell
Double Dumbbell Suitcase Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Zombie Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Overhead Walking Lunge,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Squat Clean,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Landmine Split Clean to Split Jerk,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine
Single Arm Landmine Hack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine
Alternating Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine
Single Arm Landmine Half Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine
Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine
Single Arm Landmine Meadows Row,Novice,Back,Latissimus Dorsi,,,Landmine
Single Arm Landmine Z Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine
Barbell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Landmine Half Kneeling Oblique Twist,Intermediate,Abdominals,Obliques,,,Landmine
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Single Arm Dumbbell Seated Concentration Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Alternating Double Dumbbell Seated Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Single Arm Suspension Bicep Curl,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer
Stability Ball Single Arm Plank,Expert,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Feet Elevated Single Arm Plank,Expert,Abdominals,Rectus Abdominis,,,Stability Ball
Landmine Zercher Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine
Landmine Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine
Landmine Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Landmine
Landmine Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Landmine
Landmine Tall Kneeling Oblique Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine
Landmine Feet Elevated Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine
Single Arm Landmine Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine
Cable Tall Kneeling Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,,,Cable
Cable Rope Bench Skull Crusher,Novice,Triceps,Triceps Brachii,,,Cable
Barbell Power Clean to Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell
Landmine Zercher Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Barbell Back Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell
Barbell Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell
Slider Double Kettlebell Overhead Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Dumbbell Goblet Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell
Bodyweight Alternating Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight
Bodyweight Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Barbell Back Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Barbell Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Barbell Single Leg Bent Knee Bicep Curl,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell
Slider Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Sliders
Bodyweight Wall Facing Handstand,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Bodyweight Freestanding Handstand,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Suspension Atomic Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Suspension Trainer
Suspension Pike,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer
Suspension Side Plank Reach Through,Advanced,Abdominals,Obliques,Rectus Abdominis,,Suspension Trainer
Bodyweight Cocoon Crunch,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Ab Wheel Standing Rollout,Expert,Abdominals,Rectus Abdominis,,,Ab Wheel
Cable Fire Hydrant,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable
Cable Tall Kneeling Pull Through,Novice,Glutes,Gluteus Maximus,,,Cable
Stability Ball Bent Knee Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Stability Ball
Bodyweight Bench Bent Knee Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Parallette Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars
Parallette Close Grip Push Up,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars
Parallette Feet Elevated Close Grip Push Up,Intermediate,Chest,Triceps Brachii,Pectoralis Major,,Parallette Bars
Parallette Single Leg L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars
Stability Ball Bottoms Up,Intermediate,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Windshield Wiper,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball
Stability Ball Tall Kneeling Balance,Intermediate,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Oblique Crunch,Beginner,Abdominals,Obliques,,,Stability Ball
Stability Ball Elbow Plank,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Slider Double Kettlebell Suitcase Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Kettlebell Horn Grip Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Single Arm Dumbbell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Landmine Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Landmine
Double Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Dumbbell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Dumbbell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell
Kettlebell Horn Grip Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Kettlebell Bottoms Up Horn Grip Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Bodyweight Archer Push Up,Intermediate,Chest,Pectoralis Major,,,Bodyweight
Parallette Archer Push Up,Intermediate,Chest,Pectoralis Major,,,Parallette Bars
Parallette Wide Push Up,Novice,Chest,Pectoralis Major,,,Parallette Bars
Double Dumbbell Suitcase Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Alternating Double Dumbbell Front Raise,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Dumbbell
Barbell Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Barbell
Single Arm Cable Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable
Cable Straight Bar Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable
Cable Half Kneeling Pallof Press,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable
Single Arm Kettlebell Cyclist Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Double Kettlebell Cyclist Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Alternating Double Kettlebell Cyclist Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Single Arm Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Alternating Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Barbell Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,,,Barbell
Barbell Close Grip Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Barbell
Single Arm Suspension Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Suspension Trainer
Cable Tall Kneeling Pallof Press,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable
Single Arm Cable Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Single Arm Cable Shotgun Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable
Barbell Hang Power Clean,Intermediate,Glutes,Gluteus Maximus,,,Barbell
Landmine Goblet Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine
Landmine Low Hold Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine
Ring Shoulder Stand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Ring Strap Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Ring Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Ring Bulgarian Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Ring Strap Handstand Push Up,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Ring Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Bodyweight Bent Arm Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Parallette L Sit to Bent Arm Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars
Bodyweight Chest Roll to Straight Body Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Ring Bent Arm Bent Body Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Ring Dip to Handstand,Master,Triceps,Triceps Brachii,Anterior Deltoids,,Gymnastic Rings
Ring Handstand to Elbow Lever to Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Ring Dip Straight Body Press to Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Bodyweight Wall Eccentric Straddle Press Handstand,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Bodyweight Straddle Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Bodyweight Pike Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Parallette L Sit to Straddle Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars
Parallette L Sit to Pike Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Parallette Bars
Ring Straight Arm L Sit Straddle Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Ring Straight Arm Pike Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Bodyweight Tuck L Sit,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight
Parallette Straddle L Sit,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars
Ring Turned Out L Sit,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Skin The Cat,Intermediate,Shoulders,Anterior Deltoids,,,Gymnastic Rings
Bodyweight Manna,Grand Master,Abdominals,Rectus Abdominis,,,Bodyweight
Ring Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Advanced Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Straddle Back Lever,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Half Lay Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Single Leg Out Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Full Back Lever,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Back Lever Pullout,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring German Hang Pullout,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings
